text,intent
hi buddy,greeting
truly world-class service,praise
there is a critical bug in the email integration,complaint
happy to report that no waiting time at all,praise
how do i use filters,question
can you help me with sign in,question
greetings hope you can assist me,greeting
how are things today,greeting
how do i set up automated reports,question
looking for help with the return policy,question
hey looking forward to chatting with you,greeting
good evening team,greeting
i was wondering about change profile picture,question
the download feature is not loading properly,complaint
please help me understand change my password,question
the technical support team is world class,praise
can you help me with do you offer a free trial,question
how to get a refund,question
warmest howdy,greeting
what a excellent service,praise
truly splendid team,praise
how do i import contacts,question
need some guidance on downgrade my plan,question
the backup system is giving me errors constantly,complaint
what a brilliant team,praise
good evening customer service,greeting
too many bugs in this software,complaint
hello champ,greeting
there is a critical bug in the billing page,complaint
what a first-class team,praise
looking for help with cancel an order,question
truly incredible response,praise
could you explain view account details,question
magnificent response,praise
looking for help with change shipping address,question
absolutely first-class response,praise
i was wondering about report a missing item,question
truly magnificent experience,praise
why is it that pages are taking forever to load,complaint
backup failed repeatedly,complaint
wanted to give a shoutout for amazing product,praise
impressive product,praise
extraordinary support,praise
terrific product,praise
fantastic work,praise
absolutely excellent product,praise
morning there,greeting
just wanted to say super fast response time,praise
the role permissions has been broken for days,complaint
is there a way to forgot my password,question
what a outstanding resolution,praise
transparent communication about any downtime and issues,praise
what a terrific team,praise
can you help me with change my credit card,question
good morning hope today is a great day for you,greeting
the integration is not loading properly,complaint
terrific service,praise
i have a question about trouble signing in,question
wanted to give a shoutout for outstanding customer support,praise
the search feature stopped working after the last update,complaint
notifications are not working,complaint
good afternoon sir,greeting
absolutely extraordinary experience,praise
how to transfer account ownership,question
online greetings,greeting
hope you are doing well,greeting
10 out of 10 would strongly recommend,praise
please help me understand report a missing item,question
truly outstanding resolution,praise
absolutely phenomenal response,praise
important files are missing,complaint
wanted to reach out and say hi,greeting
how to assign a task to a team member,question
how are things hope you are well,greeting
how do i automate repetitive tasks,question
fixed the issue on the backend without me having to do anything,praise
i was wondering about remove a payment method,question
a quick afternoon,greeting
pleased to meet you,greeting
absolutely magnificent resolution,praise
how do i log time manually,question
had to reach out and say wonderful service,praise
truly first-class response,praise
new user needing help getting set up,question
hi how have you been lately,greeting
hey dear,greeting
hello hero,greeting
i wanted to let you know support was quick to respond,praise
truly perfect team,praise
what a flawless resolution,praise
how to set up auto renewal,question
exactly what i needed,praise
i need help with upgrade my plan,question
i need help with login is not working,question
how do i set task dependencies,question
hello wizard,greeting
i cannot believe that file upload is extremely slow,complaint
truly impeccable team,praise
absolutely first-class platform,praise
welcome hello,greeting
absolutely excellent experience,praise
need some guidance on return an item,question
good afternoon i hope you are having a great day,greeting
remarkable response,praise
truly flawless platform,praise
incredible service,praise
just a good afternoon,greeting
how do i create contact segments,question
i am angry because the website is not loading,complaint
truly wonderful response,praise
i was wondering about do you offer a free trial,question
the audit logs stopped working after the last update,complaint
hello again,greeting
phenomenal team,praise
the login page stopped working after the last update,complaint
what a impressive product,praise
i keep getting error messages,complaint
i am frustrated because file upload is extremely slow,complaint
the automation feature has been broken for days,complaint
stellar response,praise
compelled to share that super fast response time,praise
truly impressive product,praise
i am frustrated because everything is down,complaint
happy to report that solved my problem completely,praise
truly magnificent platform,praise
the login page has been broken for days,complaint
delighted to say that excellent support,praise
do you offer non profit discounts,question
could you explain update my password,question
cannot use the data export at all right now,complaint
i am frustrated because the site is lagging badly,complaint
how do i summarize column data,question
truly flawless support,praise
truly brilliant support,praise
hi glad to be here today,greeting
can you help me with the pricing,question
the account settings is giving me errors constantly,complaint
good evening i hope your day went well,greeting
hi folks,greeting
what a splendid team,praise
can you help me with having trouble logging in,question
everything is where you expect it to be,praise
warmest good day,greeting
i am deeply disappointed that your service is down,complaint
what a extraordinary platform,praise
why is it that the website is not loading,complaint
is there a way to download my invoice,question
immediate help was provided,praise
hey there welcome,greeting
hello support,greeting
thrilled to share that remarkable experience,praise
excellent service,praise
could you explain see my bill,question
i am really upset that i cannot access the platform,complaint
i have a question about reset password,question
need some guidance on the profile page,question
warmest hi,greeting
forgot my password,question
i cannot believe that it keeps timing out,complaint
hey again,greeting
i was wondering about upgrade my plan,question
hiya again,greeting
how to get a product demo,question
truly great resolution,praise
i need help with having trouble logging in,question
can you help me with forgot my password,question
perfect product,praise
i have a question about get into my account,question
good afternoon help desk,greeting
just a quick hello before my question,greeting
could not be happier with the service received,praise
hey new here and just saying hello,greeting
nice to meet you,greeting
i am at my wit end with this issue,complaint
hello contacting you for the very first time,greeting
energetic hi,greeting
what analytics are available,question
my account is locked and i cannot get in,complaint
could you explain download my invoice,question
once again having trouble with the application is very slow,complaint
what a excellent team,praise
absolutely terrific team,praise
absolutely impeccable platform,praise
aloha,greeting
yo again,greeting
absolutely top-notch platform,praise
i was wondering about reset password,question
quick question: how to cancel my subscription,question
genuine hello,greeting
good evening friend,greeting
what a terrific product,praise
truly fantastic team,praise
how do i submit a gdpr data request,question
i am deeply disappointed that the application is very slow,complaint
data is not saving properly,complaint
writing in to compliment remarkable experience,praise
cannot help but mention that resolved my issue instantly,praise
is there a way to see my bill,question
thanks for going the extra mile,praise
how to set up two factor authentication,question
looking for help with change profile picture,question
truly exceptional support,praise
truly world-class experience,praise
truly great service,praise
why is it that i cannot access the platform,complaint
how do i link tasks together,question
happy to report that awesome experience,praise
superb team,praise
where are the settings,question
i was wondering about get a refund,question
how do i share access with my team,question
absolutely terrific service,praise
absolutely brilliant experience,praise
wonderful service,praise
how to exchange a product,question
compelled to share that impressive platform,praise
can you help me with what payment methods are accepted,question
file upload is extremely slow,complaint
how to check ticket status,question
friendly bonjour,greeting
need some guidance on get into my account,question
is there a way to update my name,question
wanted to give a shoutout for agent was extremely helpful,praise
stellar service,praise
absolutely fantastic team,praise
i was wondering about the profile page,question
getting a 500 error,complaint
hey there great to connect today,greeting
quick question: when will i be billed,question
how to mute notifications for a project,question
third follow up email with absolutely no reply,complaint
i need help with update my profile,question
top-notch resolution,praise
hey friend,greeting
bonjour,greeting
the onboarding flow keeps crashing on me,complaint
absolutely stellar support,praise
how do i set up form notifications,question
happy to report that fantastic work,praise
warm hello,greeting
splendid team,praise
i wanted to let you know incredible team,praise
is there a way to change profile picture,question
the changelog always brings useful improvements,praise
what a flawless platform,praise
i cannot believe that getting a 404 error,complaint
truly incredible team,praise
truly remarkable team,praise
writing in to compliment amazing product,praise
i cannot believe that the system is not responding,complaint
i have a question about need to reset my password,question
i have a question about update my password,question
the download feature has been broken for days,complaint
writing in to compliment awesome experience,praise
good to connect with you again today,greeting
truly wonderful product,praise
cheerio,greeting
i wanted to let you know no waiting time at all,praise
good morning folks,greeting
what a wonderful platform,praise
cannot help but mention that exceptional service,praise
is there a way to when will i be billed,question
the scheduled reports has been broken for days,complaint
i am frustrated because service is completely broken,complaint
please help me understand apply a promo code,question
i wanted to let you know wonderful service,praise
shalom from a global user,greeting
i am deeply disappointed that getting a 500 error,complaint
the calendar integration is completely broken,complaint
i keep experiencing problems with service is completely broken,complaint
how to unsubscribe from emails,question
how to enable single sign on,question
truly terrific experience,praise
wanted to take a moment to praise wonderful service,praise
how quickly do you respond to tickets,question
hey manager,greeting
how do i set up drip campaigns,question
happy to report that got an answer within minutes,praise
is there a way to get into my account,question
brilliant experience,praise
truly splendid product,praise
what a exceptional platform,praise
reaching out specifically to say immediate help was provided,praise
just wanted to say agent was extremely helpful,praise
quick question: need to reset my password,question
looking for help with the pricing,question
truly top-notch resolution,praise
this is the worst experience i have had,complaint
what a great support,praise
absolutely fantastic platform,praise
how to open a support ticket,question
explained everything clearly and patiently,praise
just a hola,greeting
wanted to give a shoutout for brilliant product,praise
dropping a note to say fastest support i have ever experienced,praise
warmest hey,greeting
could you explain the pricing,question
your service is bad,complaint
hey there,greeting
the audit logs is completely broken,complaint
i hope you are having a wonderful day,greeting
what a wonderful resolution,praise
hey mate,greeting
hello loyal customer here,greeting
account was deleted without my permission,complaint
i need help with pause my subscription,question
any update on my issue would be greatly appreciated,complaint
delighted to say that went above and beyond for me,praise
it is unacceptable that the application is very slow,complaint
cannot use the reporting tool at all right now,complaint
i have a question about do you offer a free trial,question
the user management stopped working after the last update,complaint
hello and warm wishes to you,greeting
looking for help with trouble signing in,question
quick question: how to apply a promo code,question
what a terrific service,praise
hey legend,greeting
i need help with change my credit card,question
the support team is completely useless,complaint
top of the morning to you,greeting
what a phenomenal product,praise
wanted to give a shoutout for very knowledgeable staff,praise
please help me understand upgrade my plan,question
compelled to share that fastest support i have ever experienced,praise
what a excellent product,praise
cannot use the onboarding flow at all right now,complaint
remarkable platform,praise
what a amazing team,praise
thrilled to share that impressive platform,praise
absolutely first-class experience,praise
i have a question about remove a payment method,question
absolutely impeccable service,praise
reaching out specifically to say impressive platform,praise
wanted to take a moment to praise lightning fast support,praise
can you help me with return an item,question
massive appreciation for the entire team,praise
i cannot believe that getting a 500 error,complaint
i am angry because response times are terrible,complaint
magnificent service,praise
i am genuinely impressed with everything about this product,praise
how to manage trusted devices,question
there is a critical bug in the export feature,complaint
i am deeply disappointed that your servers are down,complaint
gave me a discount for being a loyal customer,praise
resolved in record time,praise
it is unacceptable that the website is not loading,complaint
good afternoon star,greeting
thrilled to share that exceptional service,praise
wonderful experience,praise
why is it that the system is not responding,complaint
i was wondering about switch plans,question
my settings keep resetting,complaint
the login page is extremely slow and unusable,complaint
quick question: how to downgrade my plan,question
for the third time now the app is unavailable,complaint
the site is lagging badly,complaint
looking for help with remove a payment method,question
delighted to say that brilliant product,praise
i am angry because the site is lagging badly,complaint
truly terrific support,praise
happy hello,greeting
just wanted to say remarkable experience,praise
how do i share a form publicly,question
the mobile app is not loading properly,complaint
how to return an item,question
truly splendid platform,praise
where can i find tutorials,question
wanted to take a moment to praise resolved in record time,praise
please help me understand login page is not loading,question
how do i add a custom email domain,question
i need help with access my account,question
for the third time now response times are terrible,complaint
extraordinary response,praise
impressive response,praise
i keep experiencing problems with i cannot access the platform,complaint
i am having serious issues with the data export,complaint
a quick bonjour,greeting
extraordinary service,praise
how do i group by a field,question
truly remarkable response,praise
for the third time now your service is down,complaint
brilliant product,praise
absolutely impeccable product,praise
i have a question about password reset not working,question
i keep experiencing problems with the app keeps crashing,complaint
sup friend,greeting
how do i hide my profile from search,question
the app is freezing constantly,complaint
hey this is my first time using support,greeting
will my account be suspended if payment fails,question
wanted to take a moment to praise impressive platform,praise
the dashboard is not loading properly,complaint
had to reach out and say magnificent support,praise
thrilled to share that incredible team,praise
absolutely amazing platform,praise
compelled to share that wonderful service,praise
truly superb experience,praise
truly excellent team,praise
hello mate,greeting
still experiencing the issue with videos are buffering non stop,complaint
casual hi,greeting
delighted to say that lightning fast support,praise
the calendar integration keeps crashing on me,complaint
absolutely phenomenal resolution,praise
the file upload is giving me errors constantly,complaint
hey good to see you online,greeting
what a splendid service,praise
the dashboard is giving me errors constantly,complaint
kind greetings,greeting
just a morning,greeting
could you explain report a missing item,question
i need help with where are the account settings,question
happy to report that went above and beyond for me,praise
perfect team,praise
told it was fixed but the issue still persists,complaint
cannot help but mention that fastest support i have ever experienced,praise
how do i map columns during csv import,question
ciao from an italian speaking user,greeting
i wanted to let you know impressive platform,praise
is there a way to cancel an order,question
is there a way to the return policy,question
looking for help with having trouble logging in,question
truly top-notch support,praise
had to reach out and say response was almost instant,praise
truly exceptional resolution,praise
i keep experiencing problems with your service is down,complaint
the notifications is extremely slow and unusable,complaint
please help me understand what payment methods are accepted,question
this is a terrible user experience,complaint
payment failed again and again,complaint
namaste today,greeting
the community forum is active and incredibly helpful,praise
absolutely amazing team,praise
can i import data from another tool,question
absolutely excellent response,praise
yo,greeting
wanted to give a shoutout for top notch quality,praise
thrilled to have joined and wanted to say hi,greeting
top notch quality,praise
there is a critical bug in the integration,complaint
how to upgrade my plan,question
perfect resolution,praise
are there video guides available,question
cannot use the dashboard at all right now,complaint
what is the return policy,question
automated bot cannot understand my issue,complaint
i was wondering about login,question
absolutely top-notch service,praise
still experiencing the issue with the site is lagging badly,complaint
i need help with return an item,question
for the third time now getting a 500 error,complaint
the calendar integration is not loading properly,complaint
need to reset my password,question
had to reach out and say agent was extremely helpful,praise
absolutely incredible product,praise
hello representative,greeting
the download feature is completely broken,complaint
how do i handle bounced emails,question
what a brilliant service,praise
great platform,praise
flawless service,praise
looking for help with add a payment method,question
looking for help with included in the pro plan,question
worst support experience of my life,complaint
wanted to give a shoutout for resolved my issue instantly,praise
writing in to compliment incredible team,praise
hey there how is your day going,greeting
the export feature is completely broken,complaint
i have a question about add a payment method,question
reaching out specifically to say superb platform,praise
hi customer service,greeting
how are you today,greeting
cannot help but mention that response was almost instant,praise
delighted to say that wonderful service,praise
just wanted to say resolved in record time,praise
what a splendid experience,praise
absolutely extraordinary support,praise
truly exceptional experience,praise
cannot help but mention that wonderful service,praise
how do i resize the sidebar,question
shalom,greeting
there is a critical bug in the search feature,complaint
how to link my google account,question
i keep getting bounced between agents,complaint
absolutely splendid resolution,praise
how to pause my subscription,question
just need confirmation someone is looking at this issue,complaint
taking a moment to share that agent was extremely helpful,praise
truly perfect experience,praise
i am deeply disappointed that videos are buffering non stop,complaint
how do i move a deal through the pipeline,question
login keeps failing every single time,complaint
namaste,greeting
what a superb service,praise
had to reach out and say incredible team,praise
absolutely fantastic experience,praise
compelled to share that brilliant product,praise
there is a critical bug in the import function,complaint
thrilled to share that awesome experience,praise
the integration stopped working after the last update,complaint
i am having serious issues with the download feature,complaint
the data export stopped working after the last update,complaint
absolutely brilliant response,praise
i cannot believe that response times are terrible,complaint
just a namaste,greeting
team collaboration features are exactly what we needed,praise
please help me understand edit my profile,question
still experiencing the issue with everything is down,complaint
how to access my account,question
i need help with download my invoice,question
absolutely perfect response,praise
my documents are not syncing,complaint
truly great team,praise
is there a way to cannot remember my password,question
i am going to leave a negative review everywhere,complaint
hi legend,greeting
compelled to share that exceptional service,praise
quick question: trouble signing in,question
product works flawlessly,praise
compelled to share that awesome experience,praise
taking a moment to share that amazing product,praise
cannot use the audit logs at all right now,complaint
absolutely fantastic resolution,praise
fantastic product,praise
merhaba,greeting
the form submission fails every time,complaint
please help me understand the pricing,question
invoice has incorrect information,complaint
just wanted to say magnificent support,praise
could you explain login page is not loading,question
i was wondering about password reset not working,question
i am frustrated beyond belief,complaint
truly top-notch platform,praise
quick question: how to pause my subscription,question
delighted to say that very knowledgeable staff,praise
could you explain check delivery status,question
truly impressive team,praise
please help me understand see my bill,question
hiya today,greeting
good morning today,greeting
had to reach out and say fastest support i have ever experienced,praise
looking for help with cancel my subscription,question
giving a five star review for sure,praise
writing in to compliment went above and beyond for me,praise
superb resolution,praise
hello buddy,greeting
greetings from a loyal user,greeting
what a impressive experience,praise
how to create a project,question
the admin panel has been broken for days,complaint
quick question: how to get a refund,question
i have a question about update personal information,question
there is a critical bug in the mobile app,complaint
how do i create a deal in the crm,question
hope you are keeping well,greeting
truly first-class team,praise
i am angry because the system is not responding,complaint
the sync feature is giving me errors constantly,complaint
absolutely impressive service,praise
how do i export form responses,question
why is it that the application is very slow,complaint
unauthorized access to my account,complaint
salutations from an excited new member,greeting
truly excellent response,praise
truly terrific service,praise
hi from a happy user,greeting
remarkable team,praise
top-notch product,praise
hi sir,greeting
i need help with edit my profile,question
the two factor authentication is completely broken,complaint
i was wondering about see my bill,question
need some guidance on change profile picture,question
once again having trouble with your service is down,complaint
need some guidance on cannot remember my password,question
absolutely phenomenal support,praise
fantastic service,praise
please help me understand change email address,question
how do i merge duplicate contacts,question
why is it that it keeps timing out,complaint
absolutely excellent team,praise
what a brilliant product,praise
truly outstanding response,praise
the billing page has been broken for days,complaint
i have a question about having trouble logging in,question
truly phenomenal platform,praise
it seems like no one cares about this problem,complaint
i was wondering about get into my account,question
truly superb team,praise
compelled to share that incredible team,praise
perfect service,praise
absolutely splendid product,praise
when will i be billed,question
reaching out specifically to say excellent support,praise
what a perfect response,praise
how do i set quiet hours for notifications,question
hello hope you had a restful weekend,greeting
still experiencing the issue with your service is down,complaint
absolutely magnificent platform,praise
dropping a note to say top notch quality,praise
i have a question about upgrade my plan,question
what a amazing support,praise
reaching out specifically to say fantastic work,praise
the file upload is not loading properly,complaint
hello first time poster here just saying hi,greeting
i wanted to let you know lightning fast support,praise
getting a 404 error,complaint
truly brilliant service,praise
hi again,greeting
i need help with change shipping address,question
how is your week,greeting
thrilled to share that resolved my issue instantly,praise
hey folks how is everyone doing,greeting
please help me understand how long is the free trial,question
thank you so much for the help,praise
what a top-notch product,praise
truly amazing team,praise
truly impeccable response,praise
absolutely outstanding platform,praise
can you help me with get a refund,question
what is included in the enterprise plan,question
i need help with add a payment method,question
how to delete my account,question
good afternoon advisor,greeting
the account settings keeps crashing on me,complaint
hi there a pleasure to chat with you today,greeting
taking a moment to share that magnificent support,praise
could you explain when will i be billed,question
dropping a note to say wonderful service,praise
splendid support,praise
please help me understand when will my order arrive,question
the audit logs is giving me errors constantly,complaint
can you help me with login,question
delighted to chat with you,greeting
wanted to give a shoutout for lightning fast support,praise
love how the team keeps improving the product,praise
how do i configure my workspace,question
integration setup was quick with excellent documentation provided,praise
had to reach out and say brilliant product,praise
friendly evening,greeting
i have a question about view account details,question
good evening folks,greeting
wanted to give a shoutout for fastest support i have ever experienced,praise
can you help me with downgrade my plan,question
outstanding product,praise
absolutely world-class support,praise
it is unacceptable that file upload is extremely slow,complaint
absolutely brilliant team,praise
how do i preview an email before sending,question
heya,greeting
what a incredible response,praise
hello just dropping by to say hi,greeting
reaching out specifically to say outstanding customer support,praise
the account settings is extremely slow and unusable,complaint
absolutely great experience,praise
looking for help with i cannot log in,question
heeey,greeting
first-class resolution,praise
how do i track progress,question
hi there welcome,greeting
setup was a breeze,praise
i requested a refund weeks ago,complaint
just a greetings,greeting
wanted to give a shoutout for superb platform,praise
absolutely impressive platform,praise
dark mode is a very nice touch,praise
need some guidance on set a new password,question
wanted to give a shoutout for exceptional service,praise
how do i create a quote or proposal,question
just wanted to say support was quick to respond,praise
taking a moment to share that fastest support i have ever experienced,praise
explained the root cause clearly so i could understand,praise
i am deeply disappointed that the app is freezing constantly,complaint
wanted to take a moment to praise outstanding customer support,praise
impressive platform,praise
wonderful team,praise
hi hero,greeting
good afternoon,greeting
i am really upset that the app is unavailable,complaint
truly phenomenal resolution,praise
please help me understand change my credit card,question
how do i reference another field in a formula,question
a quick yo,greeting
could you explain need to reset my password,question
what a impressive team,praise
hey help desk,greeting
truly excellent resolution,praise
truly wonderful experience,praise
heya today,greeting
had to reach out and say outstanding customer support,praise
hello rockstar,greeting
there is a critical bug in the account settings,complaint
i am having serious issues with the notifications,complaint
i am frustrated because videos are buffering non stop,complaint
how to download my personal data,question
please help me understand need to reset my password,question
how do i view the revision history,question
i was wondering about check delivery status,question
good morning,greeting
what integrations are available,question
quick question: how to change my credit card,question
hi agent,greeting
quick question: login is not working,question
morning today,greeting
ciao,greeting
how do i set up my team workspace,question
updates are frequent and always add real value,praise
good morrow to you,greeting
delighted to say that solved my problem completely,praise
hello nice to connect today,greeting
top-notch service,praise
the backup system has been broken for days,complaint
good morning there,greeting
how to update privacy settings,question
absolutely flawless resolution,praise
remarkable experience,praise
the scheduled reports is completely broken,complaint
hey popping by to say hello,greeting
writing in to compliment wonderful service,praise
just wanted to say response was almost instant,praise
i was wondering about pause my subscription,question
what a impressive response,praise
heya friend,greeting
impressive experience,praise
i am angry because service is completely broken,complaint
good day today,greeting
please help me understand set a new password,question
hi and good day to you,greeting
sunny hello,greeting
thrilled to share that very helpful team,praise
i have a question about pause my subscription,question
charts are not loading,complaint
good morning to the team,greeting
my data has disappeared,complaint
truly exceptional platform,praise
hello once more,greeting
this issue is so annoying and persistent,complaint
i was wondering about update my profile,question
how to access the admin panel,question
how do i view a time report,question
absolutely extraordinary service,praise
friendly sup,greeting
i am having serious issues with the automation feature,complaint
what a magnificent service,praise
need some guidance on update my profile,question
there is a critical bug in the reporting tool,complaint
i cannot believe that videos are buffering non stop,complaint
quick question: how to add a payment method,question
reaching out specifically to say exceptional service,praise
how is it going hope all is good,greeting
smooth and seamless experience,praise
once again having trouble with response times are terrible,complaint
the mobile app keeps crashing on me,complaint
your outage has disrupted my entire workflow,complaint
hiya,greeting
brilliant platform,praise
can you help me with i cannot log in,question
top of the morning,greeting
much better than everything we were using before,praise
a quick good afternoon,greeting
how is it going everyone,greeting
a quick morning,greeting
wanted to take a moment to praise got an answer within minutes,praise
how do i create a template from scratch,question
cannot imagine going back to our old solution,praise
cannot help but mention that very helpful team,praise
please escalate this to someone who can actually help,complaint
where is the api documentation,question
hello legend,greeting
truly splendid support,praise
could you explain what happens after the trial ends,question
happy to report that remarkable experience,praise
quick question: login page is not loading,question
good morning dear,greeting
excellent product,praise
i need help with how much does it cost,question
i am frustrated because pages are taking forever to load,complaint
dropping a note to say fantastic work,praise
what a impressive platform,praise
how do i recall a sent email,question
what a phenomenal experience,praise
how to reset password,question
even followed up the next day to ensure everything was ok,praise
how do i close my account permanently,question
the product is not worth the price,complaint
quick question: what happens after the trial ends,question
first-class product,praise
the integration is giving me errors constantly,complaint
could you explain apply a promo code,question
how do i add a team inbox,question
truly terrific resolution,praise
quick question: what is the pricing,question
what a great product,praise
how to pay an outstanding invoice,question
had to reach out and say super fast response time,praise
good afternoon all,greeting
quick question: how to change my username,question
exceptional support,praise
please help me understand change my username,question
the api stopped working after the last update,complaint
is live chat available,question
afternoon friend,greeting
one of the few tech companies that listens to feedback,praise
guided me step by step through the process,praise
taking a moment to share that resolved my issue instantly,praise
top-notch support,praise
need some guidance on included in the pro plan,question
dropping a note to say exceptional service,praise
absolutely phenomenal experience,praise
reaching out specifically to say lightning fast support,praise
could you explain downgrade my plan,question
what a impeccable service,praise
impeccable platform,praise
wrong amount was billed,complaint
i need to speak to a manager right now,complaint
cannot help but mention that lightning fast support,praise
the api keeps crashing on me,complaint
cannot help but mention that remarkable experience,praise
i cannot access the platform,complaint
the user management is not loading properly,complaint
hey star,greeting
hi genius,greeting
quality has gone downhill since the last update,complaint
the payment system is extremely slow and unusable,complaint
please help me understand access my account,question
same issue keeps coming back every single week,complaint
there is a critical bug in the payment system,complaint
how to download my invoice,question
need some guidance on change email address,question
hey a quick hi from me to you,greeting
i wanted to let you know amazing product,praise
good morning help desk,greeting
cannot help but mention that magnificent support,praise
password reset not working,question
good afternoon folks,greeting
absolutely outstanding team,praise
absolutely exceptional service,praise
absolutely phenomenal platform,praise
hola friend,greeting
writing in to compliment impressive platform,praise
